"id","location_description","visibility","content","url_name"
1,"hero_statement",1,"Transparency in Design",NULL
2,"about_me1",1,"Having done a BA in Philosophy, Oliver has diverse lateral thinking and logical skills and is adept at concept appraisal and management which aid him as a programmer and part of a team. He aspires to study the philosophy of programming, aiming at an ethical response to the developing challenges within technology.",NULL
